"candidate_id","candidate_name","candidate_type","candidate_source","longitude","latitude","safe_z12","safe_z123","x_32118","y_32118"
"EC_001","Adams St Educational Campus","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.988347594505740","40.694632261301344","1","1","300984.886600002646446","58628.375199999660254"
"EC_002","M.S. 2 Parkside Prep","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.951475088663244","40.656414223009115","1","1","304103.781599998474121","54385.425299998372793"
"EC_003","P.S. 7 Abraham Lincoln","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.873156564825905","40.689174947551813","1","1","310721.956200003623962","58030.049800001084805"
"EC_010","Bushwick Educational Campus","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.911846706653776","40.696812978814627","1","1","307450.662699997425079","58874.222699999809265"
"EC_015","Old I.S. 324","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.932373548070046","40.687938147721219","1","1","305716.507799997925758","57887.149700000882149"
"EC_016","P.S. 6","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.956267202642039","40.649053301569396","1","1","303698.917700000107288","53567.801600001752377"
"EC_021","J.H.S. 383 Philippa Schuyler","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.919287755011311","40.697693632530303","1","1","306821.659900002181530","58971.411200001835823"
"EC_023","J.H.S. 88 Peter Rouget","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.988259492495530","40.660283741479731","1","1","300992.844400003552437","54814.054999999701977"
"EC_025","P.S. 26 Jesse Owens","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.931413395443585","40.691232158717774","1","1","305797.383699998259544","58253.005300000309944"
"EC_029","Medgar Evers College Prep","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.951243752642185","40.666974703101964","1","1","304122.693099997937679","55558.149900000542402"
"EC_034","J.H.S. 259 William McKinley","official_evacuation_center","NYC Hurricane Evacuation Centers","-74.014778341642895","40.626213105525586","1","1","298749.620700001716614","51030.646099999547005"
"EC_037","Old I.S. 55","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.913260039029893","40.674490936322485","1","1","307333.663300000131130","56395.292599998414516"
"EC_039","P.S. 24","official_evacuation_center","NYC Hurricane Evacuation Centers","-74.004539284926608","40.652805532485885","1","1","299616.089100003242493","53983.563200000673532"
"EC_044","P.S. 226 Alfred De B. Mason","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.977202451977348","40.615246661358121","1","1","301929.192500002682209","49813.002000000327826"
"EC_046","P.S. 321 William Penn","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.978549837783959","40.671668058252003","1","1","301813.638700000941753","56078.410000000149012"
"EC_052","P.S. 12 Peeks-Davis","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.920234622241168","40.672930139059204","1","1","306744.136399999260902","56221.409499999135733"
"EC_058","P.S. 289 George V. Brower","official_evacuation_center","NYC Hurricane Evacuation Centers","-73.942349319240151","40.673868511927935","1","1","304874.277800001204014","56324.146899998188019"
"EC_060","I.S. 30 Mary White Ovington","official_evacuation_center","NYC Hurricane Evacuation Centers","-74.024532588295216","40.633451401699446","1","1","297924.549699999392033","51834.622400000691414"
"SCH_0001","P.S. 003 The Bedford Village","school","NYC_School_Points","-73.955219000000000","40.682310999999999","1","1","303785.807999998331070","57260.112500000745058"
"SCH_0002","The Emily Warren Roebling School","school","NYC_School_Points","-73.992840999999999","40.700709000000003","1","1","300605.161100000143051","59302.226900000125170"
"SCH_0003","Public School 9 The Sarah Smith Garnet School","school","NYC_School_Points","-73.966333000000006","40.678553999999998","1","1","302846.415600001811981","56842.485899999737740"
"SCH_0004","P.S. 011 Purvis J. Behan","school","NYC_School_Points","-73.965890000000002","40.685896000000000","1","1","302883.550499998033047","57657.812199998646975"
"SCH_0005","P.S. 020 Clinton Hill","school","NYC_School_Points","-73.970895999999996","40.690742000000000","1","1","302460.198399998247623","58195.796799998730421"
"SCH_0006","P.S. 044 Marcus Garvey","school","NYC_School_Points","-73.940859000000003","40.686213000000002","1","1","304999.477700002491474","57694.140599999576807"
"SCH_0007","P.S. 046 Edward C. Blum","school","NYC_School_Points","-73.971643999999998","40.694530000000000","1","1","302396.836000002920628","58616.425200000405312"
"SCH_0008","P.S. 54 The Detective Rafael Ramos School","school","NYC_School_Points","-73.952504000000005","40.692616000000001","1","1","304014.707599997520447","58404.580099999904633"
"SCH_0009","P.S. 056 Lewis H. Latimer","school","NYC_School_Points","-73.960536000000005","40.684286000000000","1","1","303336.221900001168251","57479.215500000864267"
"SCH_0010","P.S. 067 Charles A. Dorsey","school","NYC_School_Points","-73.977673999999993","40.695338999999997","1","1","301887.143700003623962","58706.115499999374151"
"SCH_0011","P.S. 093 William H. Prescott","school","NYC_School_Points","-73.946381000000002","40.679079000000002","1","1","304533.172399997711182","56901.626200001686811"
"SCH_0012","M.S. 113 Ronald Edmonds Learning Center","school","NYC_School_Points","-73.971474000000001","40.688769000000001","1","1","302411.413099996745586","57976.683499999344349"
"SCH_0013","P.S. 133 William A. Butler","school","NYC_School_Points","-73.980455000000006","40.679915999999999","1","1","301652.472199998795986","56993.370099999010563"
"SCH_0014","P.S. 256 Benjamin Banneker","school","NYC_School_Points","-73.949610000000007","40.690595000000002","1","1","304259.451099999248981","58180.289200000464916"
"SCH_0015","Dr. Susan S. McKinney Secondary School of the Arts","school","NYC_School_Points","-73.976104000000007","40.697177000000003","1","1","302019.786399997770786","58910.256400000303984"
"SCH_0016","M.S. K266 - Park Place Community Middle School","school","NYC_School_Points","-73.976647999999997","40.678809000000001","1","1","301974.351800002157688","56870.519200000911951"
"SCH_0017","P.S. 270 Johann DeKalb","school","NYC_School_Points","-73.960808000000000","40.689498999999998","1","1","303312.969300001859665","58058.096900001168251"
"SCH_0018","P.S. 282 Park Slope","school","NYC_School_Points","-73.977982999999995","40.676648999999998","1","1","301861.548299998044968","56630.627199999988079"
"SCH_0019","P.S. 287 Bailey K. Ashford","school","NYC_School_Points","-73.981120000000004","40.697856000000002","0","0","301595.823299996554852","58985.554400000721216"
"SCH_0021","P.S. 307 Daniel Hale Williams","school","NYC_School_Points","-73.981599000000003","40.701788999999998","1","1","301555.247400000691414","59422.297200001776218"
"SCH_0022","Dock Street School for STEAM Studies","school","NYC_School_Points","-73.992075999999997","40.702952000000003","0","0","300669.792099997401237","59551.312899999320507"
"SCH_0023","Urban Assembly School of Music and Art","school","NYC_School_Points","-73.984527999999997","40.697330000000001","1","1","301307.796099998056889","58927.086800001561642"
"SCH_0025","Brooklyn Community Arts & Media High School (BCAM)","school","NYC_School_Points","-73.958179999999999","40.692014999999998","1","1","303534.977200001478195","58337.595699999481440"
"SCH_0027","Brooklyn Technical High School","school","NYC_School_Points","-73.976434999999995","40.688896000000000","1","1","301992.057999998331070","57990.662000000476837"
"SCH_0029","Albee Square Montessori Public School","school","NYC_School_Points","-73.983827000000005","40.691124000000002","1","1","301367.170900002121925","58237.934700001031160"
"SCH_0030","The Urban Assembly School for Law and Justice","school","NYC_School_Points","-73.988322999999994","40.694628999999999","1","1","300987.087399996817112","58627.096799999475479"
"SCH_0031","Academy of Arts and Letters","school","NYC_School_Points","-73.945729999999998","40.685653000000002","1","1","304587.756899997591972","57631.687300000339746"
"SCH_0033","Brooklyn Academy High School","school","NYC_School_Points","-73.947873000000001","40.684654000000002","1","1","304406.667599998414516","57520.640599999576807"
"SCH_0034","Gotham Professional Arts Academy","school","NYC_School_Points","-73.961635999999999","40.678590999999997","1","1","303243.509999997913837","56846.757899999618530"
"SCH_0035","Bedford Academy High School","school","NYC_School_Points","-73.953692000000004","40.685485999999997","1","1","303914.710799999535084","57612.755899999290705"
"SCH_0036","George Westinghouse Career and Technical Education","school","NYC_School_Points","-73.986104999999995","40.695444000000002","1","1","301174.543200001120567","58717.628199998289347"
"SCH_0038","Benjamin Banneker Academy","school","NYC_School_Points","-73.968759000000006","40.695388999999999","1","1","302640.648699998855591","58711.898200001567602"
"SCH_0042","Bridges: A School for Exploration and Equity","school","NYC_School_Points","-73.973491999999993","40.682163000000003","1","1","302241.054399996995926","57243.048900000751019"
