request_id,request_type,configuration,parameter_match,solver_called,gold_objective,predicted_objective,objective_match,shelter_set_match,alternative_optimum_possible,end_to_end_solution_match
S01,simple,L1,False,False,1654.034470174065,,False,False,False,False
S02,simple,L1,False,False,2272.4480620436025,,False,False,False,False
S03,simple,L1,False,False,1256.6798575469916,,False,False,False,False
S04,simple,L1,False,False,2400.71177320923,,False,False,False,False
S05,simple,L1,False,False,1597.8829172404976,,False,False,False,False
S06,simple,L1,False,False,1197.4709945387472,,False,False,False,False
S07,simple,L1,False,False,1293.0423159263553,,False,False,False,False
S08,simple,L1,False,False,2329.9735401184957,,False,False,False,False
S09,simple,L1,False,False,1539.248222065436,,False,False,False,False
S10,simple,L1,False,False,1657.730253213732,,False,False,False,False
S11,simple,L1,False,False,1241.4232562244144,,False,False,False,False
S12,simple,L1,False,False,2272.4480620436025,,False,False,False,False
S13,simple,L1,False,False,2400.71177320923,,False,False,False,False
S14,simple,L1,False,False,1591.6582666405716,,False,False,False,False
S15,simple,L1,False,False,1532.3265510238527,,False,False,False,False
S16,simple,L1,False,False,1307.7434191025957,,False,False,False,False
S17,simple,L1,False,False,2329.9735401184957,,False,False,False,False
S18,simple,L1,False,False,1539.248222065436,,False,False,False,False
S19,simple,L1,False,False,1259.9568227136897,,False,False,False,False
S20,simple,L1,False,False,1256.6798575469916,,False,False,False,False
C01,composite,L1,False,False,1597.8829172404976,,False,False,False,False
C02,composite,L1,False,False,1222.348799933107,,False,False,False,False
C03,composite,L1,False,False,2400.71177320923,,False,False,False,False
C04,composite,L1,False,False,1597.8829172404976,,False,False,False,False
C05,composite,L1,False,False,1532.3265510238527,,False,False,False,False
C06,composite,L1,False,False,1293.0423159263553,,False,False,False,False
C07,composite,L1,False,False,2329.9735401184957,,False,False,False,False
C08,composite,L1,False,False,2272.4480620436025,,False,False,False,False
C09,composite,L1,False,False,1661.8049093823213,,False,False,False,False
C10,composite,L1,False,False,1241.4232562244144,,False,False,False,False
C11,composite,L1,False,False,2272.4480620436025,,False,False,False,False
C12,composite,L1,False,False,1654.034470174065,,False,False,False,False
C13,composite,L1,False,False,1256.6798575469916,,False,False,False,False
C14,composite,L1,False,False,1197.4709945387472,,False,False,False,False
C15,composite,L1,False,False,2400.71177320923,,False,False,False,False
C16,composite,L1,False,False,2329.9735401184957,,False,False,False,False
C17,composite,L1,False,False,1539.248222065436,,False,False,False,False
C18,composite,L1,False,False,1259.9568227136897,,False,False,False,False
C19,composite,L1,False,False,2329.9735401184957,,False,False,False,False
C20,composite,L1,False,False,1539.248222065436,,False,False,False,False
S01,simple,L2,True,True,1654.034470174065,1654.034470174065,True,True,False,True
S02,simple,L2,True,True,2272.4480620436025,2272.4480620436025,True,True,False,True
S03,simple,L2,True,True,1256.6798575469916,1256.6798575469916,True,True,False,True
S04,simple,L2,True,True,2400.71177320923,2400.71177320923,True,True,False,True
S05,simple,L2,False,False,1597.8829172404976,,False,False,False,False
S06,simple,L2,True,True,1197.4709945387472,1197.4709945387472,True,True,False,True
