scenario_id,time_scenario,hazard_scenario,p,selected_shelter_id
Morning_baseline_p10,Morning,baseline,10,SCH_0036
Morning_baseline_p10,Morning,baseline,10,SCH_0045
Morning_baseline_p10,Morning,baseline,10,SCH_0090
Morning_baseline_p10,Morning,baseline,10,SCH_0093
Morning_baseline_p10,Morning,baseline,10,SCH_0139
Morning_baseline_p10,Morning,baseline,10,SCH_0167
Morning_baseline_p10,Morning,baseline,10,SCH_0268
Morning_baseline_p10,Morning,baseline,10,SCH_0351
Morning_baseline_p10,Morning,baseline,10,SCH_0380
Morning_baseline_p10,Morning,baseline,10,SCH_0403
Morning_moderate_p10,Morning,moderate,10,SCH_0036
Morning_moderate_p10,Morning,moderate,10,SCH_0045
Morning_moderate_p10,Morning,moderate,10,SCH_0090
Morning_moderate_p10,Morning,moderate,10,SCH_0093
Morning_moderate_p10,Morning,moderate,10,SCH_0139
Morning_moderate_p10,Morning,moderate,10,SCH_0167
Morning_moderate_p10,Morning,moderate,10,SCH_0268
Morning_moderate_p10,Morning,moderate,10,SCH_0351
Morning_moderate_p10,Morning,moderate,10,SCH_0375
Morning_moderate_p10,Morning,moderate,10,SCH_0403
Morning_strict_p10,Morning,strict,10,SCH_0036
Morning_strict_p10,Morning,strict,10,SCH_0045
Morning_strict_p10,Morning,strict,10,SCH_0090
Morning_strict_p10,Morning,strict,10,SCH_0093
Morning_strict_p10,Morning,strict,10,SCH_0139
Morning_strict_p10,Morning,strict,10,SCH_0167
Morning_strict_p10,Morning,strict,10,SCH_0268
Morning_strict_p10,Morning,strict,10,SCH_0396
Morning_strict_p10,Morning,strict,10,SCH_0403
Morning_strict_p10,Morning,strict,10,SCH_0579
Evening_baseline_p10,Evening,baseline,10,EC_001
Evening_baseline_p10,Evening,baseline,10,EC_025
Evening_baseline_p10,Evening,baseline,10,SCH_0042
Evening_baseline_p10,Evening,baseline,10,SCH_0045
Evening_baseline_p10,Evening,baseline,10,SCH_0093
Evening_baseline_p10,Evening,baseline,10,SCH_0167
Evening_baseline_p10,Evening,baseline,10,SCH_0268
Evening_baseline_p10,Evening,baseline,10,SCH_0403
Evening_baseline_p10,Evening,baseline,10,SCH_0405
Evening_baseline_p10,Evening,baseline,10,SCH_0579
Evening_moderate_p10,Evening,moderate,10,EC_001
Evening_moderate_p10,Evening,moderate,10,EC_025
Evening_moderate_p10,Evening,moderate,10,SCH_0042
Evening_moderate_p10,Evening,moderate,10,SCH_0045
Evening_moderate_p10,Evening,moderate,10,SCH_0093
Evening_moderate_p10,Evening,moderate,10,SCH_0167
Evening_moderate_p10,Evening,moderate,10,SCH_0268
Evening_moderate_p10,Evening,moderate,10,SCH_0396
Evening_moderate_p10,Evening,moderate,10,SCH_0403
Evening_moderate_p10,Evening,moderate,10,SCH_0579
Evening_strict_p10,Evening,strict,10,EC_001
Evening_strict_p10,Evening,strict,10,EC_025
Evening_strict_p10,Evening,strict,10,SCH_0042
Evening_strict_p10,Evening,strict,10,SCH_0045
Evening_strict_p10,Evening,strict,10,SCH_0093
Evening_strict_p10,Evening,strict,10,SCH_0167
Evening_strict_p10,Evening,strict,10,SCH_0268
Evening_strict_p10,Evening,strict,10,SCH_0396
Evening_strict_p10,Evening,strict,10,SCH_0403
Evening_strict_p10,Evening,strict,10,SCH_0579
Night_baseline_p10,Night,baseline,10,SCH_0036
Night_baseline_p10,Night,baseline,10,SCH_0045
Night_baseline_p10,Night,baseline,10,SCH_0090
Night_baseline_p10,Night,baseline,10,SCH_0093
Night_baseline_p10,Night,baseline,10,SCH_0167
Night_baseline_p10,Night,baseline,10,SCH_0268
Night_baseline_p10,Night,baseline,10,SCH_0403
Night_baseline_p10,Night,baseline,10,SCH_0405
Night_baseline_p10,Night,baseline,10,SCH_0466
Night_baseline_p10,Night,baseline,10,SCH_0579
Night_moderate_p10,Night,moderate,10,SCH_0036
Night_moderate_p10,Night,moderate,10,SCH_0045
Night_moderate_p10,Night,moderate,10,SCH_0090
Night_moderate_p10,Night,moderate,10,SCH_0093
Night_moderate_p10,Night,moderate,10,SCH_0167
Night_moderate_p10,Night,moderate,10,SCH_0268
Night_moderate_p10,Night,moderate,10,SCH_0396
Night_moderate_p10,Night,moderate,10,SCH_0403
Night_moderate_p10,Night,moderate,10,SCH_0466
Night_moderate_p10,Night,moderate,10,SCH_0579
Night_strict_p10,Night,strict,10,SCH_0036
Night_strict_p10,Night,strict,10,SCH_0045
Night_strict_p10,Night,strict,10,SCH_0090
Night_strict_p10,Night,strict,10,SCH_0093
Night_strict_p10,Night,strict,10,SCH_0167
Night_strict_p10,Night,strict,10,SCH_0268
Night_strict_p10,Night,strict,10,SCH_0396
Night_strict_p10,Night,strict,10,SCH_0403
Night_strict_p10,Night,strict,10,SCH_0466
Night_strict_p10,Night,strict,10,SCH_0579
