hazard_scenario,p,optimized_time,evaluation_time,cross_time_cost,evaluation_time_optimum,TMP_percent,diagonal_matches_optimum
baseline,10,Morning,Morning,1654.034470174065,1654.034470174065,0.0,True
baseline,10,Morning,Evening,1614.7347733961592,1591.6582666405716,1.4498405367060339,
baseline,10,Morning,Night,1553.670816927758,1532.3265510238527,1.3929319367104736,
baseline,10,Evening,Morning,1669.1552939063504,1654.034470174065,0.9141782716713305,
baseline,10,Evening,Evening,1591.6582666405716,1591.6582666405716,0.0,True
baseline,10,Evening,Night,1549.6493653584387,1532.3265510238527,1.1304910381544564,
baseline,10,Night,Morning,1662.9703997038152,1654.034470174065,0.5402505020835385,
baseline,10,Night,Evening,1601.5033156148722,1591.6582666405716,0.6185403726818869,
baseline,10,Night,Night,1532.3265510238527,1532.3265510238527,0.0,True
moderate,10,Morning,Morning,1657.730253213732,1657.730253213732,0.0,True
moderate,10,Morning,Evening,1606.3210448419602,1597.8829172404976,0.5280817205327559,
moderate,10,Morning,Night,1553.1012944410645,1539.248222065436,0.8999894998767491,
moderate,10,Evening,Morning,1676.123724370911,1657.730253213732,1.1095575484323073,
moderate,10,Evening,Evening,1597.8829172404976,1597.8829172404976,0.0,True
moderate,10,Evening,Night,1556.571036400022,1539.248222065436,1.125407461009853,
moderate,10,Night,Morning,1669.9388301683757,1657.730253213732,0.7364634222591789,
moderate,10,Night,Evening,1607.727966214798,1597.8829172404976,0.6161308108420466,
moderate,10,Night,Night,1539.248222065436,1539.248222065436,0.0,True
strict,10,Morning,Morning,1661.8049093823213,1661.8049093823213,0.0,True
strict,10,Morning,Evening,1598.4077097055833,1597.8829172404976,0.03284298614269195,
strict,10,Morning,Night,1542.8615840438563,1539.248222065436,0.2347484912843793,
strict,10,Evening,Morning,1676.123724370911,1661.8049093823213,0.8616423569185371,
strict,10,Evening,Evening,1597.8829172404976,1597.8829172404976,0.0,True
strict,10,Evening,Night,1556.571036400022,1539.248222065436,1.125407461009853,
strict,10,Night,Morning,1669.9388301683757,1661.8049093823213,0.4894630374559274,
strict,10,Night,Evening,1607.727966214798,1597.8829172404976,0.6161308108420466,
strict,10,Night,Night,1539.248222065436,1539.248222065436,0.0,True
