scenario_id,time_scenario,hazard_scenario,p,solver_status,objective,weighted_mean_distance,weighted_p90_distance,max_distance,runtime_seconds,selected_shelter_count,feasible_candidate_count,model_objective,objective_recalculation_difference
Morning_baseline_p5,Morning,baseline,5,OPTIMAL,2400.71177320923,2400.71177320923,3677.638991637205,7480.690930242166,0.43403099999886763,5,438,2400.71177320923,0.0
Morning_baseline_p10,Morning,baseline,10,OPTIMAL,1654.034470174065,1654.034470174065,2778.388049849023,6232.531517974027,0.5731632999995782,10,438,1654.0344701740646,4.547473508864641e-13
Morning_baseline_p15,Morning,baseline,15,OPTIMAL,1259.9568227136895,1259.9568227136895,2367.7120948241663,5668.809001333078,0.30802349999976286,15,438,1259.9568227136895,0.0
Morning_moderate_p5,Morning,moderate,5,OPTIMAL,2400.71177320923,2400.71177320923,3677.638991637205,7480.690930242166,0.3708511999993789,5,394,2400.71177320923,0.0
Morning_moderate_p10,Morning,moderate,10,OPTIMAL,1657.730253213732,1657.730253213732,2778.388049849023,6232.531517974027,0.30736869999964256,10,394,1657.730253213732,0.0
Morning_moderate_p15,Morning,moderate,15,OPTIMAL,1293.0423159263553,1293.0423159263553,2371.8031457203374,5281.034875007544,0.2658047999993869,15,394,1293.042315926355,2.2737367544323206e-13
Morning_strict_p5,Morning,strict,5,OPTIMAL,2400.71177320923,2400.71177320923,3677.638991637205,7480.690930242166,0.36457660000087344,5,379,2400.71177320923,0.0
Morning_strict_p10,Morning,strict,10,OPTIMAL,1661.8049093823213,1661.8049093823213,2909.277023990917,5281.034875007544,0.2911124000002019,10,379,1661.8049093823208,4.547473508864641e-13
Morning_strict_p15,Morning,strict,15,OPTIMAL,1307.7434191025955,1307.7434191025955,2371.8031457203374,5281.034875007544,0.26599350000105915,15,379,1307.7434191025955,0.0
Evening_baseline_p5,Evening,baseline,5,OPTIMAL,2329.9735401184953,2329.9735401184953,3779.83300961842,7261.292043996438,0.45493899999928544,5,438,2329.9735401184953,0.0
Evening_baseline_p10,Evening,baseline,10,OPTIMAL,1591.6582666405716,1591.6582666405716,2883.3309864351017,5668.809001333078,0.4444917999990139,10,438,1591.6582666405718,2.2737367544323206e-13
Evening_baseline_p15,Evening,baseline,15,OPTIMAL,1241.4232562244144,1241.4232562244144,2148.7716958601086,5668.809001333078,0.2898825999982364,15,438,1241.4232562244147,2.2737367544323206e-13
Evening_moderate_p5,Evening,moderate,5,OPTIMAL,2329.9735401184953,2329.9735401184953,3779.83300961842,7261.292043996438,0.369303100000252,5,394,2329.9735401184953,0.0
Evening_moderate_p10,Evening,moderate,10,OPTIMAL,1597.8829172404976,1597.8829172404976,2883.3309864351017,5281.034875007544,0.3957250000003114,10,394,1597.8829172404978,2.2737367544323206e-13
Evening_moderate_p15,Evening,moderate,15,OPTIMAL,1256.6798575469916,1256.6798575469916,2367.7120948241663,5281.034875007544,0.284357499998805,15,394,1256.6798575469916,0.0
Evening_strict_p5,Evening,strict,5,OPTIMAL,2329.9735401184953,2329.9735401184953,3779.83300961842,7261.292043996438,0.3577691999998933,5,379,2329.9735401184953,0.0
Evening_strict_p10,Evening,strict,10,OPTIMAL,1597.8829172404976,1597.8829172404976,2883.3309864351017,5281.034875007544,0.37026739999964775,10,379,1597.8829172404978,2.2737367544323206e-13
Evening_strict_p15,Evening,strict,15,OPTIMAL,1256.6798575469916,1256.6798575469916,2367.7120948241663,5281.034875007544,0.24001849999876868,15,379,1256.6798575469916,0.0
Night_baseline_p5,Night,baseline,5,OPTIMAL,2272.4480620436025,2272.4480620436025,3693.426492799804,7480.690930242166,0.36882669999977225,5,438,2272.4480620436025,0.0
Night_baseline_p10,Night,baseline,10,OPTIMAL,1532.3265510238527,1532.3265510238527,2823.905249594469,5668.809001333078,0.3160459999999148,10,438,1532.326551023853,2.2737367544323206e-13
Night_baseline_p15,Night,baseline,15,OPTIMAL,1197.4709945387472,1197.4709945387472,2212.365336701189,5668.809001333078,0.25904020000052697,15,438,1197.4709945387472,0.0
Night_moderate_p5,Night,moderate,5,OPTIMAL,2272.4480620436025,2272.4480620436025,3693.426492799804,7480.690930242166,0.36614519999966433,5,394,2272.4480620436025,0.0
Night_moderate_p10,Night,moderate,10,OPTIMAL,1539.248222065436,1539.248222065436,2823.905249594469,5281.034875007544,0.31429860000025656,10,394,1539.2482220654363,2.2737367544323206e-13
Night_moderate_p15,Night,moderate,15,OPTIMAL,1220.659904496679,1220.659904496679,2259.777691676152,5281.034875007544,0.3850894999995944,15,394,1220.6599044966788,2.2737367544323206e-13
Night_strict_p5,Night,strict,5,OPTIMAL,2272.4480620436025,2272.4480620436025,3693.426492799804,7480.690930242166,0.3344548000004579,5,379,2272.4480620436025,0.0
Night_strict_p10,Night,strict,10,OPTIMAL,1539.248222065436,1539.248222065436,2823.905249594469,5281.034875007544,0.27644669999972393,10,379,1539.2482220654363,2.2737367544323206e-13
Night_strict_p15,Night,strict,15,OPTIMAL,1222.3487999331073,1222.3487999331073,2259.777691676152,5281.034875007544,0.22132340000098338,15,379,1222.3487999331073,0.0
