scenario_id,time_scenario,hazard_scenario,p,selected_shelter_id
Morning_baseline_p5,Morning,baseline,5,SCH_0055
Morning_baseline_p5,Morning,baseline,5,SCH_0116
Morning_baseline_p5,Morning,baseline,5,SCH_0268
Morning_baseline_p5,Morning,baseline,5,SCH_0342
Morning_baseline_p5,Morning,baseline,5,SCH_0403
Morning_baseline_p10,Morning,baseline,10,SCH_0036
Morning_baseline_p10,Morning,baseline,10,SCH_0045
Morning_baseline_p10,Morning,baseline,10,SCH_0090
Morning_baseline_p10,Morning,baseline,10,SCH_0093
Morning_baseline_p10,Morning,baseline,10,SCH_0139
Morning_baseline_p10,Morning,baseline,10,SCH_0167
Morning_baseline_p10,Morning,baseline,10,SCH_0268
Morning_baseline_p10,Morning,baseline,10,SCH_0351
Morning_baseline_p10,Morning,baseline,10,SCH_0380
Morning_baseline_p10,Morning,baseline,10,SCH_0403
Morning_baseline_p15,Morning,baseline,15,SCH_0014
Morning_baseline_p15,Morning,baseline,15,SCH_0036
Morning_baseline_p15,Morning,baseline,15,SCH_0045
Morning_baseline_p15,Morning,baseline,15,SCH_0090
Morning_baseline_p15,Morning,baseline,15,SCH_0134
Morning_baseline_p15,Morning,baseline,15,SCH_0167
Morning_baseline_p15,Morning,baseline,15,SCH_0251
Morning_baseline_p15,Morning,baseline,15,SCH_0308
Morning_baseline_p15,Morning,baseline,15,SCH_0374
Morning_baseline_p15,Morning,baseline,15,SCH_0380
Morning_baseline_p15,Morning,baseline,15,SCH_0403
Morning_baseline_p15,Morning,baseline,15,SCH_0405
Morning_baseline_p15,Morning,baseline,15,SCH_0466
Morning_baseline_p15,Morning,baseline,15,SCH_0579
Morning_baseline_p15,Morning,baseline,15,SCH_0582
Morning_moderate_p5,Morning,moderate,5,SCH_0055
Morning_moderate_p5,Morning,moderate,5,SCH_0116
Morning_moderate_p5,Morning,moderate,5,SCH_0268
Morning_moderate_p5,Morning,moderate,5,SCH_0342
Morning_moderate_p5,Morning,moderate,5,SCH_0403
Morning_moderate_p10,Morning,moderate,10,SCH_0036
Morning_moderate_p10,Morning,moderate,10,SCH_0045
Morning_moderate_p10,Morning,moderate,10,SCH_0090
Morning_moderate_p10,Morning,moderate,10,SCH_0093
Morning_moderate_p10,Morning,moderate,10,SCH_0139
Morning_moderate_p10,Morning,moderate,10,SCH_0167
Morning_moderate_p10,Morning,moderate,10,SCH_0268
Morning_moderate_p10,Morning,moderate,10,SCH_0351
Morning_moderate_p10,Morning,moderate,10,SCH_0375
Morning_moderate_p10,Morning,moderate,10,SCH_0403
Morning_moderate_p15,Morning,moderate,15,SCH_0014
Morning_moderate_p15,Morning,moderate,15,SCH_0036
Morning_moderate_p15,Morning,moderate,15,SCH_0045
Morning_moderate_p15,Morning,moderate,15,SCH_0090
Morning_moderate_p15,Morning,moderate,15,SCH_0134
Morning_moderate_p15,Morning,moderate,15,SCH_0167
Morning_moderate_p15,Morning,moderate,15,SCH_0251
Morning_moderate_p15,Morning,moderate,15,SCH_0308
Morning_moderate_p15,Morning,moderate,15,SCH_0309
Morning_moderate_p15,Morning,moderate,15,SCH_0374
Morning_moderate_p15,Morning,moderate,15,SCH_0375
Morning_moderate_p15,Morning,moderate,15,SCH_0396
Morning_moderate_p15,Morning,moderate,15,SCH_0403
Morning_moderate_p15,Morning,moderate,15,SCH_0466
Morning_moderate_p15,Morning,moderate,15,SCH_0582
Morning_strict_p5,Morning,strict,5,SCH_0055
Morning_strict_p5,Morning,strict,5,SCH_0116
Morning_strict_p5,Morning,strict,5,SCH_0268
Morning_strict_p5,Morning,strict,5,SCH_0342
Morning_strict_p5,Morning,strict,5,SCH_0403
Morning_strict_p10,Morning,strict,10,SCH_0036
Morning_strict_p10,Morning,strict,10,SCH_0045
Morning_strict_p10,Morning,strict,10,SCH_0090
Morning_strict_p10,Morning,strict,10,SCH_0093
Morning_strict_p10,Morning,strict,10,SCH_0139
Morning_strict_p10,Morning,strict,10,SCH_0167
Morning_strict_p10,Morning,strict,10,SCH_0268
Morning_strict_p10,Morning,strict,10,SCH_0396
Morning_strict_p10,Morning,strict,10,SCH_0403
Morning_strict_p10,Morning,strict,10,SCH_0579
Morning_strict_p15,Morning,strict,15,SCH_0014
Morning_strict_p15,Morning,strict,15,SCH_0036
Morning_strict_p15,Morning,strict,15,SCH_0045
Morning_strict_p15,Morning,strict,15,SCH_0090
Morning_strict_p15,Morning,strict,15,SCH_0121
Morning_strict_p15,Morning,strict,15,SCH_0167
Morning_strict_p15,Morning,strict,15,SCH_0251
Morning_strict_p15,Morning,strict,15,SCH_0306
Morning_strict_p15,Morning,strict,15,SCH_0308
Morning_strict_p15,Morning,strict,15,SCH_0374
Morning_strict_p15,Morning,strict,15,SCH_0396
Morning_strict_p15,Morning,strict,15,SCH_0466
Morning_strict_p15,Morning,strict,15,SCH_0567
Morning_strict_p15,Morning,strict,15,SCH_0579
Morning_strict_p15,Morning,strict,15,SCH_0582
Evening_baseline_p5,Evening,baseline,5,SCH_0116
Evening_baseline_p5,Evening,baseline,5,SCH_0132
Evening_baseline_p5,Evening,baseline,5,SCH_0357
Evening_baseline_p5,Evening,baseline,5,SCH_0533
Evening_baseline_p5,Evening,baseline,5,SCH_0582
Evening_baseline_p10,Evening,baseline,10,EC_001
Evening_baseline_p10,Evening,baseline,10,EC_025
Evening_baseline_p10,Evening,baseline,10,SCH_0042
Evening_baseline_p10,Evening,baseline,10,SCH_0045
Evening_baseline_p10,Evening,baseline,10,SCH_0093
Evening_baseline_p10,Evening,baseline,10,SCH_0167
Evening_baseline_p10,Evening,baseline,10,SCH_0268
Evening_baseline_p10,Evening,baseline,10,SCH_0403
Evening_baseline_p10,Evening,baseline,10,SCH_0405
Evening_baseline_p10,Evening,baseline,10,SCH_0579
Evening_baseline_p15,Evening,baseline,15,SCH_0012
Evening_baseline_p15,Evening,baseline,15,SCH_0036
Evening_baseline_p15,Evening,baseline,15,SCH_0045
Evening_baseline_p15,Evening,baseline,15,SCH_0082
Evening_baseline_p15,Evening,baseline,15,SCH_0090
Evening_baseline_p15,Evening,baseline,15,SCH_0167
Evening_baseline_p15,Evening,baseline,15,SCH_0251
Evening_baseline_p15,Evening,baseline,15,SCH_0306
Evening_baseline_p15,Evening,baseline,15,SCH_0374
Evening_baseline_p15,Evening,baseline,15,SCH_0380
Evening_baseline_p15,Evening,baseline,15,SCH_0405
Evening_baseline_p15,Evening,baseline,15,SCH_0466
Evening_baseline_p15,Evening,baseline,15,SCH_0567
Evening_baseline_p15,Evening,baseline,15,SCH_0579
